MINUTE;5;5;10;10;15;15;20;20;25;25;30;30;35;35;40;40;45;45;45.05;45.05;45.1;45.1;50;50;55;55;60;60;65;65;70;70;75;75;80;80;85;85;90;90;90.05;90.05;90.1;90.1;total;total;METRIC
FEATURE;Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Match Totals (m);Avg. Distance/Min (m);
PLAYER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22978;625.29;125.06;834.62;166.92;651.0;130.2;652.29;130.46;499.66;99.93;662.54;132.51;598.9;119.78;583.65;116.73;624.99;125.0;93.41;55.27;0;0;734.6;146.92;715.71;143.14;525.3;105.06;533.27;106.65;565.04;113.01;676.29;135.26;351.31;70.26;639.97;127.99;637.3;127.46;501.85;127.59;0;0;11706.59;122.43;Gross Distance (Total)
22978;364.82;148.4;719.63;201.67;537.95;151.11;510.77;144.49;297.45;152.02;594.56;142.35;394.66;145.63;406.19;192.96;345.43;158.33;6.73;57.69;0;0;574.55;175.35;489.13;184.69;376.55;142.63;295.98;149.36;388.74;147.9;582.1;168.08;164.61;142.73;365.28;185.26;414.33;157.54;363.02;164.39;0;0;8192.47;160.73;Net Distance (Total)
22978;86.83;35.32;230.84;64.69;150.41;42.25;161.83;45.78;178.64;91.3;139.23;33.34;151.34;55.85;247.34;117.5;171.81;78.75;0.0;0.0;0;0;157.41;48.04;223.07;84.23;172.5;65.34;156.98;79.22;196.4;74.72;192.49;55.58;48.8;42.31;185.05;93.85;167.73;63.78;143.73;65.09;0;0;;172.0;Net Distance (Total) - DEF
22978;156.65;63.72;183.42;51.4;136.87;38.45;133.23;37.69;142.47;72.81;140.02;33.52;138.03;50.93;170.42;80.96;154.2;70.68;0.0;0.0;0;0;174.5;53.26;169.01;63.82;144.46;54.72;167.4;84.47;116.18;44.2;134.7;38.89;150.14;130.18;129.58;65.72;148.37;56.41;161.76;73.25;0;0;;150.27;Net Distance (Total) - ATT
22978;212.91;42.58;148.02;29.6;202.29;40.46;206.26;41.25;230.97;46.19;207.8;41.56;183.34;36.67;153.81;30.76;218.76;43.75;70.75;41.86;0;0;206.52;41.3;210.96;42.19;198.46;39.69;209.81;41.96;208.86;41.77;174.25;34.85;167.87;33.57;200.34;40.07;204.72;40.94;135.51;34.45;0;0;3752.22;39.24;Gross Distance (0 - 7.0 km/h)
22978;100.08;40.71;65.41;18.33;133.38;37.47;107.32;30.36;69.06;35.29;169.03;40.47;87.15;32.16;42.31;20.1;81.15;37.2;6.73;57.69;0;0;134.23;40.97;56.4;21.3;86.46;32.75;62.15;31.36;91.27;34.73;100.06;28.89;39.33;34.1;52.52;26.64;93.7;35.63;58.58;26.53;0;0;1636.31;32.1;Net Distance (0 - 7.0 km/h)
22978;59.62;24.25;5.79;1.62;32.48;9.12;23.42;6.63;31.26;15.98;33.61;8.05;27.18;10.03;15.28;7.26;27.95;12.81;0.0;0.0;0;0;22.46;6.85;10.81;4.08;37.81;14.32;28.18;14.22;17.39;6.62;18.41;5.32;48.8;42.31;14.33;7.27;22.63;8.6;40.07;18.14;0;0;;24.41;Net Distance (0 - 7.0 km/h) - DEF
22978;40.8;16.6;31.84;8.92;46.78;13.14;34.84;9.86;44.3;22.64;40.84;9.78;39.89;14.72;27.58;13.1;39.08;17.91;0.0;0.0;0;0;25.49;7.78;28.9;10.91;34.14;12.93;26.07;13.16;49.09;18.68;31.01;8.95;34.14;29.6;46.57;23.62;38.31;14.57;14.5;6.57;0;0;;36.06;Net Distance (0 - 7.0 km/h) - ATT
22978;264.6;52.92;356.6;71.32;277.7;55.54;310.29;62.06;163.14;32.63;272.08;54.42;311.98;62.4;236.73;47.35;266.22;53.24;22.66;13.41;0;0;351.86;70.37;294.75;58.95;220.82;44.16;207.1;41.42;230.63;46.13;304.49;60.9;145.77;29.15;255.37;51.07;260.8;52.16;252.7;64.25;0;0;5006.31;52.36;Gross Distance (7.0 - 15.0 km/h)
22978;154.85;62.99;324.56;90.96;236.82;66.52;268.08;75.84;129.01;65.93;242.88;58.15;203.92;75.25;172.52;81.96;126.63;58.04;0.0;0.0;0;0;284.08;86.7;224.14;84.63;184.08;69.73;136.52;68.89;176.97;67.33;284.48;82.14;90.15;78.16;153.85;78.03;189.4;72.02;191.19;86.58;0;0;3774.13;74.05;Net Distance (7.0 - 15.0 km/h)
22978;27.21;11.07;113.08;31.69;83.99;23.59;90.41;25.58;44.38;22.68;83.32;19.95;82.6;30.48;70.44;33.46;66.34;30.41;0.0;0.0;0;0;119.7;36.53;89.01;33.61;12.99;4.92;53.33;26.91;89.43;34.03;107.69;31.09;0.0;0.0;131.24;66.56;92.28;35.09;57.0;25.81;0;0;;87.26;Net Distance (7.0 - 15.0  km/h) - DEF
22978;73.94;30.08;71.9;20.15;40.01;11.24;51.48;14.56;63.13;32.26;53.87;12.9;72.41;26.72;69.34;32.94;54.47;24.97;0.0;0.0;0;0;69.06;21.08;73.79;27.86;70.74;26.8;86.42;43.61;33.02;12.56;73.4;21.19;90.83;78.75;26.1;13.24;74.15;28.19;113.68;51.48;0;0;;65.45;Net Distance (7.0 - 15.0  km/h) - ATT
22978;75.84;15.17;232.1;46.42;116.01;23.2;75.85;15.17;78.59;15.72;112.87;22.57;87.7;17.54;95.59;19.12;83.62;16.72;0.0;0.0;0;0;109.41;21.88;139.71;27.94;95.96;19.19;91.98;18.4;97.66;19.53;102.32;20.46;31.47;6.29;129.45;25.89;96.17;19.23;76.78;19.52;0;0;1928.69;20.17;Gross Distance (15.0 - 20.0 km/h)
22978;38.43;15.63;231.75;64.95;112.76;31.67;75.49;21.36;72.42;37.01;112.87;27.02;87.7;32.36;94.66;44.97;81.25;37.24;0.0;0.0;0;0;94.44;28.82;138.3;52.22;95.96;36.35;72.95;36.81;92.62;35.24;102.32;29.54;28.93;25.08;106.63;54.08;68.38;26.0;76.38;34.59;0;0;1784.25;35.01;Net Distance (15.0 - 20.0 km/h)
